id_transaksi,kategori,kota,metode_bayar,jumlah,harga_satuan
TRX1432,Kesehatan & Kecantikan,Magelang,Kartu Kredit,7,250000
TRX1433,Makanan & Minuman,Semarang,COD,3,50000
TRX1434,Kesehatan & Kecantikan,Solo,E-Wallet,8,100000
TRX1435,Kesehatan & Kecantikan,Magelang,Kartu Kredit,6,100000
TRX1436,Fashion,Yogyakarta,Kartu Kredit,5,500000
TRX1437,Makanan & Minuman,Semarang,Kartu Kredit,4,15000
TRX1438,Kesehatan & Kecantikan,Yogyakarta,Transfer Bank,8,100000
TRX1439,Elektronik,Yogyakarta,COD,8,15000
TRX1440,Elektronik,Semarang,Kartu Kredit,1,250000
TRX1441,Rumah Tangga,Yogyakarta,E-Wallet,9,15000
TRX1442,Makanan & Minuman,Semarang,COD,5,250000
TRX1443,Makanan & Minuman,Magelang,E-Wallet,4,50000
TRX1444,Rumah Tangga,Semarang,COD,6,50000
TRX1445,Kesehatan & Kecantikan,Semarang,E-Wallet,6,500000
TRX1446,Makanan & Minuman,Solo,Transfer Bank,2,100000
TRX1447,Elektronik,Semarang,Kartu Kredit,8,500000
TRX1448,Elektronik,Semarang,E-Wallet,7,250000
TRX1449,Fashion,Magelang,COD,1,500000
TRX1450,Makanan & Minuman,Solo,Kartu Kredit,5,15000
TRX1451,Kesehatan & Kecantikan,Purworejo,Kartu Kredit,6,250000
TRX1452,Rumah Tangga,Magelang,COD,4,50000
TRX1453,Rumah Tangga,Magelang,E-Wallet,2,100000
TRX1454,Kesehatan & Kecantikan,Purworejo,Transfer Bank,4,250000
TRX1455,Fashion,Semarang,Transfer Bank,1,250000
TRX1456,Rumah Tangga,Yogyakarta,E-Wallet,7,15000
TRX1457,Makanan & Minuman,Solo,Kartu Kredit,2,100000
TRX1458,Fashion,Yogyakarta,Kartu Kredit,2,50000
TRX1459,Makanan & Minuman,Purworejo,Kartu Kredit,9,250000
TRX1460,Elektronik,Magelang,Kartu Kredit,5,250000
TRX1461,Fashion,Magelang,E-Wallet,2,15000
TRX1462,Rumah Tangga,Solo,Kartu Kredit,9,500000
TRX1463,Fashion,Magelang,COD,9,50000
TRX1464,Fashion,Magelang,Kartu Kredit,1,100000
TRX1465,Fashion,Solo,Transfer Bank,3,250000
TRX1466,Fashion,Solo,Kartu Kredit,4,250000
TRX1467,Makanan & Minuman,Purworejo,E-Wallet,7,50000
TRX1468,Elektronik,Magelang,Transfer Bank,4,500000
TRX1469,Kesehatan & Kecantikan,Magelang,E-Wallet,2,250000
TRX1470,Fashion,Purworejo,E-Wallet,7,50000
TRX1471,Rumah Tangga,Semarang,Transfer Bank,6,15000
TRX1472,Fashion,Semarang,E-Wallet,3,500000
TRX1473,Rumah Tangga,Semarang,E-Wallet,6,100000
TRX1474,Makanan & Minuman,Purworejo,Kartu Kredit,6,250000
TRX1475,Rumah Tangga,Magelang,COD,5,50000
TRX1476,Kesehatan & Kecantikan,Purworejo,E-Wallet,4,15000
TRX1477,Elektronik,Purworejo,E-Wallet,1,100000
TRX1478,Rumah Tangga,Semarang,E-Wallet,6,50000
TRX1479,Rumah Tangga,Yogyakarta,Kartu Kredit,2,50000
TRX1480,Elektronik,Magelang,COD,3,100000
TRX1481,Kesehatan & Kecantikan,Semarang,Transfer Bank,8,15000
TRX1482,Fashion,Yogyakarta,Kartu Kredit,6,15000
TRX1483,Rumah Tangga,Yogyakarta,Kartu Kredit,3,500000
TRX1484,Elektronik,Solo,COD,7,250000
TRX1485,Makanan & Minuman,Magelang,COD,4,100000
TRX1486,Elektronik,Yogyakarta,Kartu Kredit,9,100000
TRX1487,Makanan & Minuman,Semarang,Transfer Bank,5,100000
TRX1488,Kesehatan & Kecantikan,Solo,Kartu Kredit,3,15000
TRX1489,Fashion,Magelang,COD,2,250000
TRX1490,Elektronik,Purworejo,Transfer Bank,2,500000
TRX1491,Rumah Tangga,Semarang,COD,3,50000
TRX1492,Kesehatan & Kecantikan,Yogyakarta,Transfer Bank,2,50000
TRX1493,Elektronik,Yogyakarta,E-Wallet,4,100000
TRX1494,Rumah Tangga,Semarang,COD,2,250000
TRX1495,Elektronik,Yogyakarta,COD,9,15000
TRX1496,Makanan & Minuman,Solo,Kartu Kredit,2,250000
TRX1497,Elektronik,Magelang,COD,9,250000
TRX1498,Elektronik,Solo,COD,6,15000
TRX1499,Elektronik,Yogyakarta,E-Wallet,1,100000
TRX1500,Kesehatan & Kecantikan,Purworejo,COD,4,250000
TRX1501,Elektronik,Magelang,E-Wallet,1,50000
TRX1502,Rumah Tangga,Magelang,E-Wallet,6,15000
TRX1503,Makanan & Minuman,Semarang,E-Wallet,4,500000
TRX1504,Makanan & Minuman,Semarang,E-Wallet,3,100000
TRX1505,Elektronik,Purworejo,Transfer Bank,3,15000
TRX1506,Kesehatan & Kecantikan,Magelang,Kartu Kredit,9,500000
TRX1507,Kesehatan & Kecantikan,Purworejo,Transfer Bank,6,500000
TRX1508,Rumah Tangga,Semarang,COD,9,250000
TRX1509,Elektronik,Semarang,Transfer Bank,5,250000
TRX1510,Makanan & Minuman,Magelang,Transfer Bank,2,250000
TRX1511,Kesehatan & Kecantikan,Solo,COD,8,15000
TRX1512,Elektronik,Yogyakarta,COD,5,15000
TRX1513,Kesehatan & Kecantikan,Semarang,COD,2,100000
TRX1514,Kesehatan & Kecantikan,Semarang,Transfer Bank,4,250000
TRX1515,Makanan & Minuman,Solo,Transfer Bank,9,500000
TRX1516,Fashion,Solo,COD,4,50000
TRX1517,Rumah Tangga,Purworejo,Kartu Kredit,4,100000
TRX1518,Rumah Tangga,Purworejo,Kartu Kredit,2,15000
TRX1519,Makanan & Minuman,Yogyakarta,E-Wallet,6,100000
TRX1520,Kesehatan & Kecantikan,Yogyakarta,COD,2,100000
TRX1521,Elektronik,Magelang,E-Wallet,7,100000
TRX1522,Kesehatan & Kecantikan,Purworejo,Kartu Kredit,3,100000
TRX1523,Makanan & Minuman,Semarang,E-Wallet,3,50000
TRX1524,Rumah Tangga,Purworejo,COD,5,250000
TRX1525,Kesehatan & Kecantikan,Semarang,COD,3,500000
TRX1526,Rumah Tangga,Solo,COD,2,100000
TRX1527,Elektronik,Purworejo,Transfer Bank,9,100000
TRX1528,Rumah Tangga,Solo,E-Wallet,2,100000
TRX1529,Rumah Tangga,Yogyakarta,Kartu Kredit,2,250000
TRX1530,Fashion,Yogyakarta,Kartu Kredit,8,15000
TRX1531,Fashion,Magelang,Kartu Kredit,9,15000
TRX1532,Fashion,Purworejo,Transfer Bank,7,50000
TRX1533,Rumah Tangga,Solo,Transfer Bank,3,15000
TRX1534,Makanan & Minuman,Semarang,COD,9,100000
TRX1535,Rumah Tangga,Yogyakarta,Kartu Kredit,3,100000
TRX1536,Makanan & Minuman,Yogyakarta,Transfer Bank,5,100000
TRX1537,Makanan & Minuman,Semarang,COD,9,50000
TRX1538,Fashion,Solo,Kartu Kredit,3,100000
TRX1539,Kesehatan & Kecantikan,Solo,E-Wallet,7,15000
TRX1540,Elektronik,Purworejo,COD,1,250000
TRX1541,Fashion,Purworejo,Transfer Bank,4,250000
TRX1542,Fashion,Magelang,Transfer Bank,4,500000
TRX1543,Kesehatan & Kecantikan,Yogyakarta,COD,7,15000
TRX1544,Elektronik,Purworejo,COD,8,100000
TRX1545,Rumah Tangga,Solo,Transfer Bank,1,250000
TRX1546,Rumah Tangga,Semarang,E-Wallet,5,15000
TRX1547,Fashion,Solo,Kartu Kredit,7,250000
TRX1548,Elektronik,Yogyakarta,E-Wallet,4,100000
TRX1549,Fashion,Solo,COD,4,250000
TRX1550,Makanan & Minuman,Magelang,E-Wallet,4,500000
TRX1551,Fashion,Yogyakarta,Transfer Bank,6,500000
TRX1552,Fashion,Semarang,COD,7,250000
TRX1553,Rumah Tangga,Magelang,Kartu Kredit,2,15000
TRX1554,Rumah Tangga,Yogyakarta,Transfer Bank,5,15000
TRX1555,Rumah Tangga,Semarang,Transfer Bank,4,15000
TRX1556,Makanan & Minuman,Magelang,Kartu Kredit,3,250000
TRX1557,Rumah Tangga,Magelang,Kartu Kredit,7,15000
TRX1558,Elektronik,Yogyakarta,E-Wallet,6,100000
TRX1559,Kesehatan & Kecantikan,Purworejo,COD,7,500000
TRX1560,Elektronik,Magelang,Kartu Kredit,5,100000
TRX1561,Elektronik,Magelang,Kartu Kredit,6,15000
TRX1562,Rumah Tangga,Semarang,COD,5,100000
TRX1563,Kesehatan & Kecantikan,Solo,Kartu Kredit,7,15000
TRX1564,Kesehatan & Kecantikan,Yogyakarta,Kartu Kredit,2,250000
TRX1565,Kesehatan & Kecantikan,Yogyakarta,E-Wallet,5,100000
TRX1566,Makanan & Minuman,Purworejo,Transfer Bank,6,250000
TRX1567,Rumah Tangga,Purworejo,Transfer Bank,6,250000
TRX1568,Kesehatan & Kecantikan,Yogyakarta,Transfer Bank,5,50000
TRX1569,Makanan & Minuman,Purworejo,Transfer Bank,7,15000
TRX1570,Fashion,Semarang,Kartu Kredit,8,500000
TRX1571,Fashion,Yogyakarta,COD,7,15000
TRX1572,Makanan & Minuman,Purworejo,COD,5,500000
TRX1573,Makanan & Minuman,Yogyakarta,E-Wallet,1,15000
TRX1574,Rumah Tangga,Solo,E-Wallet,5,250000
TRX1575,Rumah Tangga,Magelang,Kartu Kredit,2,100000
TRX1576,Fashion,Yogyakarta,COD,5,100000
TRX1577,Kesehatan & Kecantikan,Magelang,COD,5,50000
TRX1578,Fashion,Purworejo,Transfer Bank,2,500000
TRX1579,Kesehatan & Kecantikan,Magelang,Kartu Kredit,5,500000
TRX1580,Kesehatan & Kecantikan,Yogyakarta,Kartu Kredit,4,500000
TRX1581,Rumah Tangga,Solo,Transfer Bank,1,250000
TRX1582,Elektronik,Purworejo,Kartu Kredit,3,500000
TRX1583,Elektronik,Yogyakarta,Kartu Kredit,1,100000
TRX1584,Makanan & Minuman,Purworejo,E-Wallet,5,250000
TRX1585,Rumah Tangga,Semarang,COD,4,15000
TRX1586,Kesehatan & Kecantikan,Magelang,Kartu Kredit,7,500000
TRX1587,Elektronik,Semarang,E-Wallet,5,500000
TRX1588,Kesehatan & Kecantikan,Yogyakarta,COD,4,15000
TRX1589,Elektronik,Solo,Transfer Bank,2,500000
TRX1590,Elektronik,Purworejo,E-Wallet,4,15000
TRX1591,Elektronik,Magelang,E-Wallet,2,250000
TRX1592,Rumah Tangga,Purworejo,COD,8,100000
TRX1593,Fashion,Yogyakarta,Transfer Bank,3,15000
TRX1594,Kesehatan & Kecantikan,Purworejo,E-Wallet,9,50000
TRX1595,Rumah Tangga,Magelang,Kartu Kredit,4,15000
TRX1596,Rumah Tangga,Yogyakarta,Kartu Kredit,6,500000
TRX1597,Rumah Tangga,Purworejo,Kartu Kredit,5,250000
TRX1598,Rumah Tangga,Solo,Transfer Bank,1,250000
TRX1599,Rumah Tangga,Yogyakarta,E-Wallet,9,15000
